,Player Name,Age,Overall Rating,Potential,Best Overall,Team,League,League Tier,Positions,Best Position,Height,Weight,foot,Growth,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,PAC,SHO,PAS,DRI,DEF,PHY,Value (M),Total Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,Freekick Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total Defending,Marking,Standing Tackle,Sliding Tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Total Base Stats,Joined,Loan Date End,contract_end_at_club,contract_started_at_club,years_at_club,Release Clause (M),Player ID,Image Page,Info Page,Team ID,Team Image Page
0,L. Messi,33,93,93,93,FC Barcelona,Spain Primera Division,1,RW ST CF,RW,170,72.1,Left,0,4 ★,4★,Medium,Low,85,92,91,95,38,65,67.5,98.17,85,95,70,91,88,100.0,96,93,94,91,96,97.2,91,80,91,94,95,87.61,86,68,72,69,94,82.42,44,40,93,95,75,96,33.46,32,35,24,12.27,6,11,15,14,8,96.33,93.57,"Jul 1, 2004",,2021,2004,16.0,138.4,158023,https://cdn.sofifa.com/players/158/023/20_240.png,https://sofifa.com/player/158023/,241,https://cdn.sofifa.com/teams/241/dark_240.png
1,Cristiano Ronaldo,35,92,92,92,Juventus,Italian Serie A,1,ST LW,ST,188,83.0,Right,0,4 ★,5★,High,Low,89,93,81,89,35,77,46.0,100.0,84,95,90,82,86,88.09,88,81,76,77,92,92.89,87,91,87,95,71,100.0,94,95,84,78,93,83.85,63,29,95,82,84,95,30.88,28,32,24,13.18,7,11,15,14,11,95.9,93.17,"Jul 10, 2018",,2022,2018,2.0,75.9,20801,https://cdn.sofifa.com/players/020/801/20_240.png,https://sofifa.com/player/20801/,45,https://cdn.sofifa.com/teams/45/dark_240.png
2,K. De Bruyne,29,91,91,91,Manchester City,English Premier League,1,CAM CM,CAM,180,69.9,Right,0,5 ★,4★,High,High,76,86,93,88,64,78,87.0,93.14,94,82,55,94,82,93.83,88,85,83,93,92,85.78,77,76,78,91,76,91.89,91,63,89,74,91,96.91,76,66,88,94,84,91,68.38,68,65,53,12.73,15,13,5,10,13,99.48,97.39,"Aug 30, 2015",,2023,2015,5.0,161.0,192985,https://cdn.sofifa.com/players/192/985/20_240.png,https://sofifa.com/player/192985/,10,https://cdn.sofifa.com/teams/10/dark_240.png
3,Neymar Jr,28,91,91,91,Paris Saint-Germain,French Ligue 1,1,LW CAM,LW,175,68.0,Right,0,5 ★,5★,High,Medium,91,85,86,94,36,59,90.0,93.36,85,87,62,87,87,95.32,95,88,89,81,95,97.63,94,89,96,91,83,80.41,80,62,81,50,84,84.56,51,36,87,90,92,93,34.56,35,30,29,13.41,9,9,15,15,11,93.91,90.56,"Aug 3, 2017",,2022,2017,3.0,166.5,190871,https://cdn.sofifa.com/players/190/871/20_240.png,https://sofifa.com/player/190871/,73,https://cdn.sofifa.com/teams/73/dark_240.png
4,R. Lewandowski,31,91,91,91,FC Bayern München,German 1. Bundesliga,1,ST,ST,183,79.8,Right,0,4 ★,4★,High,Medium,78,91,78,85,43,82,80.0,96.8,71,94,85,84,89,86.6,85,79,85,70,88,87.72,77,78,77,93,82,94.59,89,84,76,86,85,92.87,81,49,94,79,88,88,35.29,35,42,19,11.59,15,6,12,8,10,94.78,91.77,"Jul 1, 2014",,2023,2014,6.0,132.0,188545,https://cdn.sofifa.com/players/188/545/20_240.png,https://sofifa.com/player/188545/,21,https://cdn.sofifa.com/teams/21/dark_240.png
5,J. Oblak,27,91,93,91,Atlético Madrid,Spain Primera Division,1,GK,GK,188,87.1,Right,2,3 ★,1★,Medium,Medium,87,92,78,90,52,90,75.0,21.74,13,11,15,43,13,23.19,12,13,14,40,30,66.16,43,60,67,88,49,60.36,59,78,41,78,12,33.25,34,19,11,65,11,68,20.96,27,12,18,99.32,87,92,78,90,90,61.01,98.19,"Jul 16, 2014",,2023,2014,6.0,159.4,200389,https://cdn.sofifa.com/players/200/389/20_240.png,https://sofifa.com/player/200389/,240,https://cdn.sofifa.com/teams/240/dark_240.png
6,Alisson,27,90,91,90,Liverpool,English Premier League,1,GK,GK,190,91.2,Right,1,3 ★,1★,Medium,Medium,86,88,85,89,51,91,62.5,26.09,17,13,19,45,20,29.36,27,19,18,44,30,57.76,56,47,40,88,37,54.05,64,52,32,78,14,33.25,27,11,13,66,23,65,18.38,15,19,16,99.77,86,88,85,91,89,59.97,98.39,"Jul 19, 2018",,2024,2018,2.0,120.3,212831,https://cdn.sofifa.com/players/212/831/20_240.png,https://sofifa.com/player/212831/,9,https://cdn.sofifa.com/teams/9/dark_240.png
7,V. van Dijk,28,90,91,90,Liverpool,English Premier League,1,CB,CB,193,92.1,Right,1,3 ★,2★,Medium,Medium,76,60,71,71,91,86,75.5,72.31,53,52,87,79,45,77.23,70,60,70,86,77,76.29,72,79,61,89,53,90.54,81,90,75,92,64,82.42,83,90,47,65,62,90,100.0,93,93,86,13.18,13,10,13,11,11,91.19,91.37,"Jan 1, 2018",,2023,2018,2.0,145.3,203376,https://cdn.sofifa.com/players/203/376/20_240.png,https://sofifa.com/player/203376/,9,https://cdn.sofifa.com/teams/9/dark_240.png
8,M. Salah,28,90,90,90,Liverpool,English Premier League,1,RW,RW,175,71.2,Left,0,3 ★,4★,High,Medium,93,86,81,90,45,75,78.0,89.7,79,91,59,84,79,86.38,90,83,69,75,89,99.14,94,92,91,92,91,88.51,80,69,85,75,84,89.31,63,55,91,84,83,90,44.85,38,43,41,14.09,14,14,9,11,14,95.47,94.38,"Jul 1, 2017",,2023,2017,3.0,144.3,209331,https://cdn.sofifa.com/players/209/331/20_240.png,https://sofifa.com/player/209331/,9,https://cdn.sofifa.com/teams/9/dark_240.png
9,S. Mané,28,90,90,90,Liverpool,English Premier League,1,LW,LW,175,68.9,Right,0,4 ★,4★,High,Medium,94,85,80,90,44,76,78.0,93.82,76,90,84,85,75,83.19,91,76,64,71,89,99.14,95,93,93,93,86,91.44,84,86,88,70,78,85.04,75,35,92,85,71,84,44.85,42,42,38,12.73,10,10,15,7,14,95.12,94.18,"Jul 1, 2016",,2023,2016,4.0,144.3,208722,https://cdn.sofifa.com/players/208/722/20_240.png,https://sofifa.com/player/208722/,9,https://cdn.sofifa.com/teams/9/dark_240.png
